,US Petroleum Products (Million Barrels) - Predicted,Electrical Generation (Billion Kilowatthours) - Predicted,U.S. Natural Usage (BCF) - Predicted,Date,National Avg Temp (F),NG ($/MSCF),US Crude Price ($/BBL),Electricity ($/kWh),US Petroleum Products (Million Barrels),Electrical Generation (Billion Kilowatthours),U.S. Natural Usage (BCF),Year,Month
0,,,,1/1/1981,32.4,3.94,28.81,0.053,571.321,413.51641,1890,1981,1
1,,,,2/1/1981,34.5,3.99,34.3,0.055,475.689,359.719821,1702,1981,2
2,,,,3/1/1981,37.3,4.06,34.59,0.056,493.111,371.667764,1871,1981,3
3,,,,4/1/1981,41.7,4.11,33.92,0.056,460.49,345.682684,1808,1981,4
4,,,,5/1/1981,45.2,4.29,32.73,0.058,475.943,356.277107,1838,1981,5
5,,,,6/1/1981,49.3,4.3,31.68,0.063,482.838,406.041501,1770,1981,6
6,,,,7/1/1981,52.8,4.32,31.1,0.064,486.154,441.309494,1797,1981,7
7,,,,8/1/1981,55.2,4.3,31.1,0.064,473.143,421.278831,1841,1981,8
8,,,,9/1/1981,56.3,4.47,31.1,0.065,469.637,374.102978,1716,1981,9
9,,,,10/1/1981,55.9,4.5,30.98,0.063,490.471,363.11518,1781,1981,10
10,,,,11/1/1981,54.9,4.53,30.97,0.061,467.78,351.583508,1714,1981,11
11,,,,12/1/1981,53.1,4.55,30.8,0.062,514.481,391.651399,1860,1981,12
12,601.9581,630.5004,2223.7678,1/1/1982,26.2,4.65,30.8,0.063,499.843,419.388747,1870,1982,1
13,514.5896,538.64484,1900.7175,2/1/1982,29.4,4.69,29.73,0.064,448.039,361.091146,1716,1982,2
14,480.52484,503.11334,1775.0785,3/1/1982,33.6,4.78,28.31,0.065,482.375,375.93593,1822,1982,3
15,460.87762,482.74426,1702.8964,4/1/1982,37.4,4.86,27.64,0.066,481.389,345.753004,1719,1982,4
16,457.17926,479.063,1689.3627,5/1/1982,42.1,5.17,27.66,0.067,460.244,354.959962,1698,1982,5
17,470.3187,493.0795,1738.2134,6/1/1982,46.1,5.2,28.12,0.071,449.944,372.894239,1647,1982,6
18,479.87473,503.3555,1773.9463,7/1/1982,50,5.23,28.09,0.073,459.437,421.730158,1672,1982,7
19,478.45865,502.12152,1769.2021,8/1/1982,52.7,5.23,27.99,0.075,460.018,411.783352,1643,1982,8
20,492.20627,516.73206,1820.4578,9/1/1982,54,5.41,27.99,0.074,450.658,361.750536,1574,1982,9
21,494.5313,519.30054,1829.267,10/1/1982,53.9,5.66,28.76,0.072,460.615,346.344495,1615,1982,10
22,507.6529,533.122,1877.9403,11/1/1982,52.8,5.68,28.74,0.071,450.272,347.197518,1627,1982,11
23,512.64996,538.9478,1897.4642,12/1/1982,51.3,5.74,28.02,0.071,480.104,369.915885,1669,1982,12
24,547.61554,573.7679,2023.6779,1/1/1983,33.1,5.86,27.22,0.073,456.39,391.741688,1748,1983,1
25,500.60464,524.06055,1849.0778,2/1/1983,35,5.87,26.41,0.073,414.173,345.45038,1521,1983,2
26,477.35486,499.7306,1763.1034,3/1/1983,37.5,6,26.08,0.075,481.756,365.537444,1577,1983,3
27,468.01373,490.11145,1729.1637,4/1/1983,39.9,6.06,25.85,0.075,440.764,341.337752,1542,1983,4
28,445.48117,466.71567,1646.0728,5/1/1983,43.5,6.22,26.08,0.075,449.646,349.449625,1532,1983,5
29,443.5846,464.97726,1639.358,6/1/1983,47.4,6.2,25.98,0.079,458.664,382.734413,1495,1983,6
30,450.41785,472.409,1665.0123,7/1/1983,51.2,6.21,25.86,0.079,465.584,440.893673,1552,1983,7
31,457.5296,480.1134,1691.7648,8/1/1983,54.2,6.18,26.03,0.079,479.884,460.386919,1532,1983,8
32,467.8421,491.1348,1730.3474,9/1/1983,55.5,6.19,26.08,0.079,465.176,391.634027,1463,1983,9
33,461.979,485.11328,1708.88,10/1/1983,55.4,6.7,26.04,0.077,463.83,366.273422,1531,1983,10
34,463.79642,487.10632,1715.7686,11/1/1983,54.3,6.3,26.09,0.074,464.995,366.341362,1522,1983,11
35,469.34155,493.02322,1736.3876,12/1/1983,51.9,5.94,25.88,0.075,518.504,425.110666,1642,1983,12
36,453.4765,474.71283,1674.8066,1/1/1984,28.8,5.78,25.93,0.075,520.825,433.847458,1895,1984,1
37,438.94116,459.38416,1621.2922,2/1/1984,33.1,5.84,26.06,0.075,447.678,379.620084,1655,1984,2
38,445.00854,465.90454,1643.7876,3/1/1984,35.4,5.92,26.05,0.076,497.551,400.77495,1700,1984,3
39,421.76498,441.71323,1558.2994,4/1/1984,39,5.96,25.93,0.075,467.046,362.762278,1672,1984,4
40,422.0987,442.2534,1559.6354,5/1/1984,43.2,6.27,26,0.077,484.217,385.100395,1675,1984,5
41,430.55756,451.38345,1591.2843,6/1/1984,47.4,6.76,26.09,0.081,471.26,419.934627,1624,1984,6
42,439.94965,461.4866,1626.3651,7/1/1984,51.1,7.11,26.11,0.082,480.43,443.052325,1683,1984,7
43,456.65842,479.2342,1688.4972,8/1/1984,53.9,7.23,26.02,0.082,499.611,459.06333,1658,1984,8
44,465.009,488.21185,1719.8912,9/1/1984,54.9,7.17,25.97,0.082,457.421,390.822777,1580,1984,9
45,450.7533,473.4262,1667.4891,10/1/1984,54.8,6.8,25.92,0.08,484.11,382.284861,1668,1984,10
46,474.8059,498.7478,1756.6178,11/1/1984,53.6,6.31,25.44,0.077,468.797,381.203731,1662,1984,11
47,502.87088,528.91077,1861.8032,12/1/1984,52,6.05,25.05,0.077,476.629,400.463916,1795,1984,12
48,515.69794,540.70306,1906.5334,1/1/1985,26.3,5.97,24.26,0.078,499.385,456.295776,1833,1985,1
49,448.0781,469.0251,1654.8674,2/1/1985,28.6,5.86,23.64,0.079,451.396,396.976994,1673,1985,2
50,445.46747,466.35205,1645.1389,3/1/1985,33.6,5.99,23.89,0.079,476.552,390.500776,1690,1985,3
51,416.34216,436.007,1538.2028,4/1/1985,38.8,6.11,24.19,0.08,464.151,370.346623,1601,1985,4
52,402.14648,421.32883,1485.8489,5/1/1985,43.4,6.59,24.18,0.081,480.611,394.245687,1585,1985,5
53,392.6834,411.6667,1451.1407,6/1/1985,47.5,6.96,24.07,0.086,464.487,411.363941,1526,1985,6
54,386.5542,405.51788,1428.9102,7/1/1985,51.3,7.07,24.04,0.087,478.444,454.007524,1570,1985,7
55,402.91928,422.92795,1489.8152,8/1/1985,53.8,7.21,23.99,0.089,497.862,452.572893,1559,1985,8
56,409.53677,430.06586,1514.8021,9/1/1985,54.8,7.06,23.96,0.084,452.97,405.424844,1536,1985,9
57,423.24567,444.70825,1565.9608,10/1/1985,54.7,6.5,24.1,0.081,494.249,389.990434,1595,1985,10
58,446.51755,469.1499,1652.1135,11/1/1985,53.4,6.13,24.27,0.079,465.083,385.297904,1605,1985,11
59,446.2872,469.2055,1651.7655,12/1/1985,51.3,5.7,24.51,0.078,514.951,438.980845,1833,1985,12
60,522.8444,548.2596,1933.1089,1/1/1986,34.7,5.63,23.12,0.079,498.728,435.522273,1822,1986,1
61,472.96936,495.29352,1747.2087,2/1/1986,35.3,5.67,17.65,0.079,453.209,385.164033,1591,1986,2
62,440.8098,461.4536,1627.9407,3/1/1986,38.9,5.71,12.62,0.079,504.565,394.22911,1697,1986,3
63,415.30093,434.91406,1534.3153,4/1/1986,42.4,5.89,10.68,0.08,478.339,372.740908,1533,1986,4
64,401.0794,420.20395,1481.8611,5/1/1986,46.1,6.18,10.75,0.08,495.789,395.294996,1559,1986,5
65,392.7084,411.70654,1451.2974,6/1/1986,50.2,6.67,10.68,0.085,481.482,430.668313,1489,1986,6
66,397.56573,417.06107,1469.6316,7/1/1986,53.5,6.84,9.25,0.085,505.514,485.907105,1530,1986,7
67,403.88696,423.97955,1493.5074,8/1/1986,55.8,6.94,9.77,0.085,515.167,450.804962,1531,1986,8
68,419.94974,440.96304,1553.2677,9/1/1986,56.7,6.83,11.09,0.0835,477.269,413.810201,1450,1986,9
69,449.90225,472.73413,1664.6643,10/1/1986,56.4,6.38,11,0.082,514.674,395.919552,1549,1986,10
70,456.17886,479.2736,1687.8433,11/1/1986,55,5.66,11.05,0.08,486.633,393.307372,1636,1986,11
71,482.51328,507.85284,1787.2267,12/1/1986,53.3,5.28,11.73,0.08,531.06,427.573083,1744,1986,12
72,474.76724,497.27975,1753.9374,1/1/1987,31.4,5.3,13.79,0.081,517.21,446.081951,1830,1987,1
73,478.59796,500.96252,1767.5435,2/1/1987,34.4,5.34,14.51,0.075,473.425,388.56125,1648,1987,2
74,494.88928,518.2147,1827.9531,3/1/1987,37.1,5.36,14.54,0.075,501.109,404.259888,1745,1987,3
75,486.6695,509.74225,1798.1384,4/1/1987,41.2,5.46,14.95,0.074,495.706,379.584834,1647,1987,4
76,479.73352,502.65295,1772.5764,5/1/1987,45.6,5.98,15.29,0.074,496.806,412.813756,1641,1987,5
77,476.78644,499.87323,1762.19,6/1/1987,49.7,6.55,15.95,0.08,504.892,451.81583,1575,1987,6
78,492.46686,516.5445,1820.4579,7/1/1987,53.1,6.78,16.88,0.08,530.502,496.392439,1592,1987,7
79,503.9263,529.1092,1863.8755,8/1/1987,55.4,6.84,17.06,0.08,506.741,495.761519,1618,1987,8
80,511.7947,537.44336,1893.2227,9/1/1987,56.5,6.64,16.25,0.08,500.097,426.442499,1546,1987,9
81,535.61945,563.04114,1982.5093,10/1/1987,56.2,5.85,15.95,0.074,525.173,406.429849,1691,1987,10
82,536.8069,564.2049,1986.7322,11/1/1987,55,5.42,15.46,0.073,490.29,400.958772,1730,1987,11
83,579.018,609.5385,2145.2612,12/1/1987,53.3,5.13,14.27,0.073,540.79,441.472742,1875,1987,12
84,554.4147,581.0911,2049.0552,1/1/1988,27.8,5.08,13.64,0.075,539.481,476.376869,1932,1988,1
85,518.06665,542.3027,1913.256,2/1/1988,30.7,5.09,13.43,0.076,515.026,434.366167,1759,1988,2
86,505.10406,528.8737,1865.5527,3/1/1988,34.6,5.18,12.96,0.076,545.962,428.58723,1833,1988,3
87,493.086,516.449,1821.7175,4/1/1988,38.9,5.35,13.92,0.076,496.816,392.594222,1691,1988,4
88,469.10208,491.48456,1733.2015,5/1/1988,43.4,5.87,14.12,0.076,502.103,417.407208,1730,1988,5
89,458.68225,480.84274,1695.0557,6/1/1988,48,6.5,13.59,0.084,511.781,466.131706,1661,1988,6
90,468.80292,491.80432,1733.0026,7/1/1988,51.8,6.74,12.38,0.084,517.536,515.48425,1680,1988,7
91,475.84448,499.69522,1760.0065,8/1/1988,54.5,6.92,12.22,0.085,541.955,535.857187,1697,1988,8
92,495.90918,520.9835,1834.7677,9/1/1988,55.7,6.79,11.63,0.084,512.149,440.784484,1615,1988,9
93,536.97675,564.6616,1987.9637,10/1/1988,55.5,5.95,10.62,0.078,544.972,421.62777,1753,1988,10
94,532.30524,559.5792,1970.2584,11/1/1988,54.4,5.56,10.31,0.077,528.59,419.629983,1778,1988,11
95,583.73535,614.73773,2163.2666,12/1/1988,52.6,5.39,11.99,0.077,569.322,465.975277,1871,1988,12
96,617.6487,647.9445,2284.1694,1/1/1989,34.1,5.41,13.8,0.078,535.329,493.207076,1871,1989,1
97,564.82294,591.7024,2086.7505,2/1/1989,31.6,5.38,14.24,0.078,501.749,467.271756,1717,1989,2
98,540.6203,566.2808,1996.9988,3/1/1989,35.3,5.45,15.65,0.078,557.66,483.567546,1814,1989,3
99,497.9121,521.4695,1839.3551,4/1/1989,39.7,5.54,17.04,0.077,498.719,445.42239,1743,1989,4
100,463.32916,485.3999,1711.8295,5/1/1989,43.9,5.93,16.76,0.077,512.928,469.324265,1776,1989,5
101,440.8046,462.01605,1628.7877,6/1/1989,47.9,6.58,16.42,0.084,524.903,501.523437,1688,1989,6
102,457.88373,480.27017,1692.4851,7/1/1989,51.7,6.92,16.32,0.084,510.039,546.590194,1725,1989,7
103,502.79883,528.6484,1861.2561,8/1/1989,54.1,7.07,15.01,0.084,538.172,550.513762,1720,1989,8
104,498.1773,523.5727,1843.6138,9/1/1989,55.2,6.8,15.58,0.084,503.85,485.272813,1649,1989,9
105,555.7696,584.7852,2058.4724,10/1/1989,55.1,6.06,16.25,0.08,536.411,471.01276,1724,1989,10
106,565.89417,595.49066,2096.1035,11/1/1989,54,5.56,16.3,0.078,519.331,468.184837,1790,1989,11
107,602.2008,634.63275,2232.7893,12/1/1989,51.8,5.3,17.01,0.078,584.589,548.57148,1856,1989,12
108,563.5788,590.8428,2083.1177,1/1/1990,36.5,5.43,18.49,0.079,525.878,510.066956,1939,1990,1
109,544.81616,570.6818,2012.6072,2/1/1990,36.6,5.65,18.16,0.079,480.896,458.721042,1720,1990,2
110,536.2657,561.9748,1981.3708,3/1/1990,39.3,5.6,16.57,0.079,529.703,489.215883,1842,1990,3
111,472.50848,494.8499,1745.238,4/1/1990,42.6,5.64,14.52,0.079,503.351,459.242276,1753,1990,4
112,449.5127,470.91837,1660.5051,5/1/1990,45.9,6,13.82,0.08,524.35,483.239974,1781,1990,5
113,423.75168,444.11346,1565.6035,6/1/1990,49.9,6.56,12.79,0.086,514.961,537.687338,1712,1990,6
114,429.93057,451.04813,1589.2356,7/1/1990,53.3,7.04,14.03,0.086,529.591,574.588439,1757,1990,7
115,485.77792,510.83264,1798.3699,8/1/1990,55.6,7.08,21.87,0.086,559.565,581.003434,1765,1990,8
116,481.3106,506.01376,1781.4945,9/1/1990,56.9,6.9,28.46,0.086,495.36,516.416085,1691,1990,9
117,533.88367,561.9891,1977.8313,10/1/1990,56.6,6.14,30.86,0.081,524.967,488.437415,1842,1990,10
118,541.60455,570.1775,2006.584,11/1/1990,55.6,5.69,27.53,0.08,500.85,462.187576,1826,1990,11
119,618.26324,652.13855,2293.3652,12/1/1990,53.5,5.62,22.63,0.081,511.328,511.232585,1895,1990,12
120,517.9947,543.10864,1914.7347,1/1/1991,29.5,5.54,19.6,0.081,523.67,538.026149,1957,1991,1
121,477.30267,499.69595,1762.5785,2/1/1991,34.7,5.56,16.28,0.081,457.486,456.216735,1738,1991,2
122,483.85855,506.78146,1787.0016,3/1/1991,37.5,5.6,15.13,0.081,502.581,480.719954,1889,1991,3
123,468.60068,490.8144,1730.8752,4/1/1991,41.3,5.9,16.16,0.082,484.163,455.208448,1800,1991,4
124,452.22122,473.80225,1670.5272,5/1/1991,45.4,6.28,16.44,0.082,501.86,509.343558,1786,1991,5
125,434.21448,455.14536,1604.3783,6/1/1991,49.4,6.97,15.58,0.088,506.333,537.809014,1713,1991,6
126,457.00305,480.1376,1690.8348,7/1/1991,52.9,7.23,16.36,0.087,526.087,588.89319,1740,1991,7
127,481.72736,507.48444,1785.2966,8/1/1991,55.4,7.36,16.6,0.087,532.675,583.914683,1741,1991,8
128,427.9257,450.56296,1585.1482,9/1/1991,56.4,6.92,16.71,0.088,505.429,511.665161,1716,1991,9
129,458.23315,483.10724,1698.9661,10/1/1991,56.3,6.2,17.72,0.083,526.87,490.354007,1864,1991,10
130,475.6972,501.25507,1763.1854,11/1/1991,54.7,5.51,17.12,0.082,501.911,482.933238,1864,1991,11
131,517.56964,545.7627,1919.4159,12/1/1991,53.2,5.51,14.68,0.082,531.485,507.774789,1942,1991,12
132,565.8664,594.0551,2093.7488,1/1/1992,33.6,5.53,13.99,0.084,527.375,535.230267,1952,1992,1
133,479.2085,501.78088,1769.9049,2/1/1992,36.7,5.54,14.04,0.084,489.886,478.733317,1748,1992,2
134,469.89713,492.148,1735.5261,3/1/1992,39.3,5.5,14.12,0.085,521.571,495.151255,1837,1992,3
