Date,National Avg Temp (F),NG ($/MSCF),US Crude Price ($/BBL),Electricity ($/kWh),US Petroleum Products (Million Barrels),Electrical Generation (Billion Kilowatthours),U.S. Natural Usage (BCF)
1/1/1981,32.4,3.94,28.81,0.053,571.321,413.51641,1890
2/1/1981,34.5,3.99,34.3,0.055,475.689,359.719821,1702
3/1/1981,37.3,4.06,34.59,0.056,493.111,371.667764,1871
4/1/1981,41.7,4.11,33.92,0.056,460.49,345.682684,1808
5/1/1981,45.2,4.29,32.73,0.058,475.943,356.277107,1838
6/1/1981,49.3,4.3,31.68,0.063,482.838,406.041501,1770
7/1/1981,52.8,4.32,31.1,0.064,486.154,441.309494,1797
8/1/1981,55.2,4.3,31.1,0.064,473.143,421.278831,1841
9/1/1981,56.3,4.47,31.1,0.065,469.637,374.102978,1716
10/1/1981,55.9,4.5,30.98,0.063,490.471,363.11518,1781
11/1/1981,54.9,4.53,30.97,0.061,467.78,351.583508,1714
12/1/1981,53.1,4.55,30.8,0.062,514.481,391.651399,1860
1/1/1982,26.2,4.65,30.8,0.063,499.843,419.388747,1870
2/1/1982,29.4,4.69,29.73,0.064,448.039,361.091146,1716
3/1/1982,33.6,4.78,28.31,0.065,482.375,375.93593,1822
4/1/1982,37.4,4.86,27.64,0.066,481.389,345.753004,1719
5/1/1982,42.1,5.17,27.66,0.067,460.244,354.959962,1698
6/1/1982,46.1,5.2,28.12,0.071,449.944,372.894239,1647
7/1/1982,50,5.23,28.09,0.073,459.437,421.730158,1672
8/1/1982,52.7,5.23,27.99,0.075,460.018,411.783352,1643
9/1/1982,54,5.41,27.99,0.074,450.658,361.750536,1574
10/1/1982,53.9,5.66,28.76,0.072,460.615,346.344495,1615
11/1/1982,52.8,5.68,28.74,0.071,450.272,347.197518,1627
12/1/1982,51.3,5.74,28.02,0.071,480.104,369.915885,1669
1/1/1983,33.1,5.86,27.22,0.073,456.39,391.741688,1748
2/1/1983,35,5.87,26.41,0.073,414.173,345.45038,1521
3/1/1983,37.5,6,26.08,0.075,481.756,365.537444,1577
4/1/1983,39.9,6.06,25.85,0.075,440.764,341.337752,1542
5/1/1983,43.5,6.22,26.08,0.075,449.646,349.449625,1532
6/1/1983,47.4,6.2,25.98,0.079,458.664,382.734413,1495
7/1/1983,51.2,6.21,25.86,0.079,465.584,440.893673,1552
8/1/1983,54.2,6.18,26.03,0.079,479.884,460.386919,1532
9/1/1983,55.5,6.19,26.08,0.079,465.176,391.634027,1463
10/1/1983,55.4,6.7,26.04,0.077,463.83,366.273422,1531
11/1/1983,54.3,6.3,26.09,0.074,464.995,366.341362,1522
12/1/1983,51.9,5.94,25.88,0.075,518.504,425.110666,1642
1/1/1984,28.8,5.78,25.93,0.075,520.825,433.847458,1895
2/1/1984,33.1,5.84,26.06,0.075,447.678,379.620084,1655
3/1/1984,35.4,5.92,26.05,0.076,497.551,400.77495,1700
4/1/1984,39,5.96,25.93,0.075,467.046,362.762278,1672
5/1/1984,43.2,6.27,26,0.077,484.217,385.100395,1675
6/1/1984,47.4,6.76,26.09,0.081,471.26,419.934627,1624
7/1/1984,51.1,7.11,26.11,0.082,480.43,443.052325,1683
8/1/1984,53.9,7.23,26.02,0.082,499.611,459.06333,1658
9/1/1984,54.9,7.17,25.97,0.082,457.421,390.822777,1580
10/1/1984,54.8,6.8,25.92,0.08,484.11,382.284861,1668
11/1/1984,53.6,6.31,25.44,0.077,468.797,381.203731,1662
12/1/1984,52,6.05,25.05,0.077,476.629,400.463916,1795
1/1/1985,26.3,5.97,24.26,0.078,499.385,456.295776,1833
2/1/1985,28.6,5.86,23.64,0.079,451.396,396.976994,1673
3/1/1985,33.6,5.99,23.89,0.079,476.552,390.500776,1690
4/1/1985,38.8,6.11,24.19,0.08,464.151,370.346623,1601
5/1/1985,43.4,6.59,24.18,0.081,480.611,394.245687,1585
6/1/1985,47.5,6.96,24.07,0.086,464.487,411.363941,1526
7/1/1985,51.3,7.07,24.04,0.087,478.444,454.007524,1570
8/1/1985,53.8,7.21,23.99,0.089,497.862,452.572893,1559
9/1/1985,54.8,7.06,23.96,0.084,452.97,405.424844,1536
10/1/1985,54.7,6.5,24.1,0.081,494.249,389.990434,1595
11/1/1985,53.4,6.13,24.27,0.079,465.083,385.297904,1605
12/1/1985,51.3,5.7,24.51,0.078,514.951,438.980845,1833
1/1/1986,34.7,5.63,23.12,0.079,498.728,435.522273,1822
2/1/1986,35.3,5.67,17.65,0.079,453.209,385.164033,1591
3/1/1986,38.9,5.71,12.62,0.079,504.565,394.22911,1697
4/1/1986,42.4,5.89,10.68,0.08,478.339,372.740908,1533
5/1/1986,46.1,6.18,10.75,0.08,495.789,395.294996,1559
6/1/1986,50.2,6.67,10.68,0.085,481.482,430.668313,1489
7/1/1986,53.5,6.84,9.25,0.085,505.514,485.907105,1530
8/1/1986,55.8,6.94,9.77,0.085,515.167,450.804962,1531
9/1/1986,56.7,6.83,11.09,0.0835,477.269,413.810201,1450
10/1/1986,56.4,6.38,11,0.082,514.674,395.919552,1549
11/1/1986,55,5.66,11.05,0.08,486.633,393.307372,1636
12/1/1986,53.3,5.28,11.73,0.08,531.06,427.573083,1744
1/1/1987,31.4,5.3,13.79,0.081,517.21,446.081951,1830
2/1/1987,34.4,5.34,14.51,0.075,473.425,388.56125,1648
3/1/1987,37.1,5.36,14.54,0.075,501.109,404.259888,1745
4/1/1987,41.2,5.46,14.95,0.074,495.706,379.584834,1647
5/1/1987,45.6,5.98,15.29,0.074,496.806,412.813756,1641
6/1/1987,49.7,6.55,15.95,0.08,504.892,451.81583,1575
7/1/1987,53.1,6.78,16.88,0.08,530.502,496.392439,1592
8/1/1987,55.4,6.84,17.06,0.08,506.741,495.761519,1618
9/1/1987,56.5,6.64,16.25,0.08,500.097,426.442499,1546
10/1/1987,56.2,5.85,15.95,0.074,525.173,406.429849,1691
11/1/1987,55,5.42,15.46,0.073,490.29,400.958772,1730
12/1/1987,53.3,5.13,14.27,0.073,540.79,441.472742,1875
1/1/1988,27.8,5.08,13.64,0.075,539.481,476.376869,1932
