Date,Actual Electrical Generation (Billion Kilowatthours),Predicted Electrical Generation (Billion Kilowatthours)
2017-11-01,619.553287,668.3622560416431
2017-12-01,705.757366,682.2478634489861
2018-01-01,747.681372,692.5355437397019
2018-02-01,611.282453,620.9059988741205
2018-03-01,640.916332,727.6459554952587
2018-04-01,602.543622,690.1705384047053
2018-05-01,678.266954,740.7716471127047
2018-06-01,743.661142,764.900160691546
2018-07-01,823.648759,781.983299635721
2018-08-01,819.962135,785.642540918318
2018-09-01,712.6750509999999,718.7078891095672
2018-10-01,649.80052,718.9267614007078
2018-11-01,,671.6027321473235
2018-12-01,,681.4718866343806
2019-01-01,,724.9103221418616
2019-02-01,,613.6248412749247
2019-03-01,,723.4713613882487
2019-04-01,,674.5904548098305
2019-05-01,,740.9239861158459
2019-06-01,,762.3909861100263
2019-07-01,,790.4561843144156
2019-08-01,,815.8790888351908
2019-09-01,,717.5395811057896
2019-10-01,,734.8778462040983
