Date,Actual U.S. Natural Usage (BCF),Predicted U.S. Natural Usage (BCF)
2017-11-01,2884.0,2740.8982576932685
2017-12-01,3006.0,2765.8126355852364
2018-01-01,2959.0,2732.2314750248406
2018-02-01,2724.0,2675.1417465471677
2018-03-01,3048.0,2790.846247504098
2018-04-01,2960.0,2722.1792448478736
2018-05-01,3082.0,2681.5352469491154
2018-06-01,2955.0,2616.708693502689
2018-07-01,3108.0,2531.5517614528144
2018-08-01,3180.0,2554.8817293134125
2018-09-01,3135.0,2587.4059752384965
2018-10-01,3273.0,2695.373879184128
2018-11-01,,2740.0177937713706
2018-12-01,,2774.004785175246
2019-01-01,,2768.5559522477924
2019-02-01,,2706.8611319621123
2019-03-01,,2823.5511495617393
2019-04-01,,2784.2708420991476
2019-05-01,,2715.322073764586
2019-06-01,,2643.851639029148
2019-07-01,,2594.325638719074
2019-08-01,,2605.4340570743625
2019-09-01,,2605.780831527023
2019-10-01,,2800.9311699624195
