,National Avg Temp (F),NG ($/MSCF),US Crude Price ($/BBL),Electricity ($/kWh),US Petroleum Products (Million Barrels),Electrical Generation (Billion Kilowatthours),U.S. Natural Usage (BCF),petroleum_forcast,electrical_forcast,natgas_forcast,ds
0,32.4,3.94,28.81,0.053,571.321,413.51641,1890.0,510.13051142469254,397.52620253833766,1935.1011180771652,1981-01-01
1,34.5,3.99,34.3,0.055,475.689,359.719821,1702.0,455.0706948704327,346.2916380505432,1740.6761270125708,1981-02-01
2,37.3,4.06,34.59,0.055999999999999994,493.111,371.66776400000003,1871.0,503.10118734979864,361.9899047516276,1898.6316084477687,1981-03-01
3,41.7,4.11,33.92,0.055999999999999994,460.49,345.682684,1808.0,477.67410313142403,337.0474815406301,1802.4550555369394,1981-04-01
4,45.2,4.29,32.73,0.057999999999999996,475.94300000000004,356.277107,1838.0,490.03400282225385,364.13670052304826,1820.9807195714673,1981-05-01
5,49.3,4.3,31.68,0.063,482.838,406.041501,1770.0,483.00708014166645,400.18242036962494,1747.2351975512192,1981-06-01
6,52.8,4.32,31.1,0.064,486.154,441.30949400000003,1797.0,494.55080375359967,440.8931234746316,1783.0904801530573,1981-07-01
7,55.2,4.3,31.1,0.064,473.14300000000003,421.27883099999997,1841.0,500.55727659508443,437.4701981845787,1773.8849548178644,1981-08-01
8,56.3,4.47,31.1,0.065,469.63699999999994,374.102978,1716.0,467.71727157973436,379.11254816606026,1698.8053504423585,1981-09-01
9,55.9,4.5,30.98,0.063,490.471,363.11518,1781.0,492.01081858632654,356.02734779074325,1782.5619096860546,1981-10-01
10,54.9,4.53,30.97,0.061,467.78,351.583508,1714.0,469.75180020237303,347.5739166132635,1751.8449804939883,1981-11-01
11,53.1,4.55,30.8,0.062,514.481,391.651399,1860.0,494.98798234834845,384.9776379549533,1817.8202400869786,1981-12-01
12,26.2,4.65,30.8,0.063,499.843,419.388747,1870.0,484.49728087082536,399.3264650147494,1817.7665307171876,1982-01-01
13,29.4,4.69,29.73,0.064,448.039,361.091146,1716.0,438.12103687487127,350.9499290317902,1640.0740451622937,1982-02-01
14,33.6,4.78,28.31,0.065,482.375,375.93593,1822.0,477.0326692318912,362.9988820749787,1773.9967555903117,1982-03-01
15,37.4,4.86,27.64,0.066,481.389,345.753004,1719.0,456.07841336415146,338.18403651747576,1690.019199569155,1982-04-01
16,42.1,5.17,27.66,0.067,460.244,354.959962,1698.0,467.39308842848277,364.73780524335336,1708.197069304067,1982-05-01
17,46.1,5.2,28.12,0.071,449.944,372.894239,1647.0,464.61320031576054,401.0763913993452,1639.9520930691735,1982-06-01
18,50.0,5.23,28.09,0.073,459.43699999999995,421.730158,1672.0,477.5786621639189,444.9954861555126,1669.7439238707643,1982-07-01
19,52.7,5.23,27.99,0.075,460.01800000000003,411.783352,1643.0,484.29574344000395,443.46047415711985,1664.207500176481,1982-08-01
20,54.0,5.41,27.99,0.07400000000000001,450.658,361.750536,1574.0,456.26348516658567,382.6673858051351,1598.6372878169286,1982-09-01
21,53.9,5.66,28.76,0.07200000000000001,460.615,346.344495,1615.0,476.2304387140162,358.7517719104858,1669.5228424843065,1982-10-01
22,52.8,5.68,28.74,0.071,450.272,347.197518,1627.0,456.42698682378875,350.112734833837,1640.173590783881,1982-11-01
23,51.3,5.74,28.02,0.071,480.10400000000004,369.915885,1669.0,484.52498108200456,386.76977358096843,1700.627729249421,1982-12-01
24,33.1,5.86,27.22,0.073,456.39,391.741688,1748.0,474.08367066162936,403.73695510893447,1707.6882651200667,1983-01-01
25,35.0,5.87,26.41,0.073,414.173,345.45038,1521.0,435.83730139335,358.15731034763616,1545.27474712001,1983-02-01
26,37.5,6.0,26.08,0.075,481.756,365.537444,1577.0,468.52493621748556,366.6790569815521,1657.4026903375886,1983-03-01
27,39.9,6.06,25.85,0.075,440.764,341.337752,1542.0,449.7800758908513,341.6369647853977,1584.6624248901824,1983-04-01
28,43.5,6.22,26.08,0.075,449.64599999999996,349.449625,1532.0,459.15855448926266,367.62578764105797,1602.4184925670565,1983-05-01
29,47.4,6.2,25.98,0.079,458.664,382.73441299999996,1495.0,458.9672773676632,404.28112022630796,1539.2581730145541,1983-06-01
30,51.2,6.21,25.86,0.079,465.584,440.89367300000004,1552.0,473.51113473775774,451.97676888055264,1575.4725433791602,1983-07-01
31,54.2,6.18,26.03,0.079,479.884,460.38691900000003,1532.0,480.99985260765027,452.5672519835246,1585.564194518673,1983-08-01
32,55.5,6.19,26.08,0.079,465.176,391.634027,1463.0,456.78899838251374,389.0693773789128,1539.6219066698538,1983-09-01
33,55.4,6.7,26.04,0.077,463.83,366.27342200000004,1531.0,472.97112223989814,364.354085550372,1612.295716742402,1983-10-01
34,54.3,6.3,26.09,0.07400000000000001,464.995,366.341362,1522.0,455.07195122784645,355.68811826092247,1595.9273426642276,1983-11-01
35,51.9,5.94,25.88,0.075,518.504,425.11066600000004,1642.0,486.6114260911434,392.16474281407716,1666.1345883597735,1983-12-01
36,28.8,5.78,25.93,0.075,520.825,433.847458,1895.0,475.92136166218785,412.2636074044097,1693.247522077866,1984-01-01
37,33.1,5.84,26.06,0.075,447.67800000000005,379.62008399999996,1655.0,444.6895559598588,369.3222458429888,1548.5999628644245,1984-02-01
38,35.4,5.92,26.05,0.076,497.551,400.77495,1700.0,480.8174287429984,376.9170783532225,1684.1023595705547,1984-03-01
39,39.0,5.96,25.93,0.075,467.046,362.762278,1672.0,457.46749082350226,351.6639649158517,1605.9179427772783,1984-04-01
40,43.2,6.27,26.0,0.077,484.217,385.100395,1675.0,473.8800687229439,381.5269934824046,1633.9101443213312,1984-05-01
41,47.4,6.76,26.09,0.081,471.26,419.934627,1624.0,467.3065620030713,420.1546864410606,1579.1121181751168,1984-06-01
42,51.1,7.11,26.11,0.08199999999999999,480.43,443.052325,1683.0,480.67823344441945,460.7736511940568,1627.501949370367,1984-07-01
43,53.9,7.23,26.02,0.08199999999999999,499.611,459.06333,1658.0,489.9113339932618,456.2804239881914,1628.8413469246668,1984-08-01
44,54.9,7.17,25.97,0.08199999999999999,457.421,390.822777,1580.0,458.01548054195194,398.05562873021216,1563.0494325387267,1984-09-01
45,54.8,6.8,25.92,0.08,484.11,382.284861,1668.0,489.72716890885533,375.36270973609214,1655.9595197851272,1984-10-01
46,53.6,6.31,25.44,0.077,468.79699999999997,381.203731,1662.0,470.0404291148919,367.4997425903063,1636.4900132613286,1984-11-01
